config,n_live_train,n_live_test,ret_2020,ret_2022,ret_2023,ret_2024,train_cagr,train_max_dd,train_calmar,test_cagr,test_max_dd,test_calmar,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,num,set,weights,throttle,name_cap,top5,jaccard_fcf_roic,note,train_kill,test_kill,pass_train,pass_test
01 fcf_quality=100%,756,502,0.2696930724401987,-0.23501729174301833,0.32938200669566875,0.21549638327603038,0.08601768352780148,-0.28987312433410917,0.2967425273570967,0.27238013461768706,-0.09472608985302322,2.8754499952474704,0.15737533331444942,0.22367066833599022,0.6761968962957744,-0.2898731243341095,0.5429110880008926,1.0,A,fcf_quality=100%,,,0.5641089682730016,,,,,True,True
02 roic=100%,22,502,,-0.09806157484988709,0.4127829037838009,0.2370056884634022,-0.6934003580057051,-0.13487024062818087,-5.141240608573664,0.3234469158405966,-0.11861808332295631,2.726792633800714,0.24463083978404887,0.16833893593992855,1.2658740745715025,-0.14575752752344495,1.6783410362439102,2.0,A,roic=100%,,,0.614303727476999,,,train days 22 < 252; train Calmar below FCF and SPUS,,False,True
"03 fcf_quality=50%, roic=50%",756,502,0.2696930724401987,-0.2661037305304287,0.37137598271617,0.22664268092195838,0.07110303717623334,-0.28987312433410917,0.2452902018411325,0.29833646546139825,-0.10517309776174066,2.8366233553113576,0.15708423535043048,0.22589693216778467,0.6706481247146008,-0.2898731243341095,0.5419068625671356,3.0,A,"fcf_quality=50%, roic=50%",,,0.5397726136392116,,,train Calmar below FCF and SPUS,,False,True
"04 fcf_quality=70%, roic=30%",756,502,0.2696930724401987,-0.2537860575742352,0.3546409015550296,0.22227693530210768,0.0770622647262933,-0.28987312433410894,0.26584825655472294,0.28805124912862534,-0.0997543551554626,2.8876057459317,0.15726976187258557,0.22474192116564765,0.6736463596355706,-0.2898731243341095,0.5425468892083817,4.0,A,"fcf_quality=70%, roic=30%",,,0.5386816230669955,,,train Calmar below FCF and SPUS,,False,True
"05 fcf_quality=80%, dual_momentum=20%",756,502,0.2732085932180588,-0.23781231551372695,0.2968004232514394,0.2087172787470002,0.08174343708151666,-0.2934641735878084,0.27854656356223984,0.2531059075618043,-0.10390803940316451,2.435864529978765,0.1475894119181811,0.2258038348558261,0.6343254643425251,-0.29346417358780785,0.502921396209274,5.0,B,"fcf_quality=80%, dual_momentum=20%",,,0.5217826788132609,,dual mom as 20% sleeve,train Calmar below FCF and SPUS,,False,True
06 fcf_quality=100%,756,502,0.2696930724401987,-0.23501729174301833,0.32938200669566875,0.21549638327603038,0.08601768352780148,-0.28987312433410917,0.2967425273570967,0.27238013461768706,-0.09472608985302322,2.8754499952474704,0.15737533331444942,0.22367066833599022,0.6761968962957744,-0.2898731243341095,0.5429110880008926,6.0,B,fcf_quality=100%,,,0.5641089682730016,,control = winner A,,,True,True
07 fcf_quality=100% | throttle=spy_sma,756,502,0.2007345338716453,-0.02873420401899829,0.21556838222878216,0.21549638327603038,0.15429054822226385,-0.09302241382511722,1.658638406355818,0.2164779698662742,-0.09158243884725925,2.363749782065917,0.179216456793585,0.13628553830976448,1.1314837900764563,-0.09302241382511689,1.9265943488685835,7.0,C,fcf_quality=100%,spy_sma,,0.5641089682730016,,"SMA on whole NAV, winner A engine",,,True,True
08 fcf_quality=100% | throttle=spy_sma,756,502,0.2007345338716453,-0.02873420401899829,0.21556838222878216,0.21549638327603038,0.15429054822226385,-0.09302241382511722,1.658638406355818,0.2164779698662742,-0.09158243884725925,2.363749782065917,0.179216456793585,0.13628553830976448,1.1314837900764563,-0.09302241382511689,1.9265943488685835,8.0,C,fcf_quality=100%,spy_sma,,0.5641089682730016,,"SMA on whole NAV, FCF only",,,True,True
"09 fcf_quality=90%, sue=10% | throttle=spy_sma",756,502,0.35570704801853403,-0.004356870508239963,0.37650517060167155,0.24985115557470894,0.21320134214837494,-0.09276456624690743,2.298305816262927,0.3130687521134916,-0.07765679362249844,4.031440618516478,0.2526026114161124,0.137942937746302,1.5574565911287337,-0.09276456624690732,2.723050639225448,9.0,D,"fcf_quality=90%, sue=10%",spy_sma,,0.5641089682730016,,SUE 10% satellite on best A–C,,,True,True
10 fcf_quality=100% | throttle=spy_sma,756,502,0.2007345338716453,-0.02873420401899829,0.21556838222878216,0.21549638327603038,0.15429054822226385,-0.09302241382511722,1.658638406355818,0.2164779698662742,-0.09158243884725925,2.363749782065917,0.179216456793585,0.13628553830976448,1.1314837900764563,-0.09302241382511689,1.9265943488685835,10.0,D,fcf_quality=100%,spy_sma,,0.5641089682730016,,"control = best A–C, SUE 0%",,,True,True
