symbol,rebalance,next_rebalance,detect_date,weight,source,reason,debt_ratio,cash_ratio,receivables_ratio,filed_date,flagged_at_rebalance
HLT,2020-01-31,2020-02-27,2020-02-11,0.0040580779572732,filing,debt ratio exceeds threshold,0.3130129817898212,0.0211665389898094,0.0707780736852549,2020-02-11,True
FIS,2020-01-31,2020-02-27,2020-02-20,0.006090103620511,filing,debt ratio exceeds threshold,0.523107504112324,0.0300528548143525,0.1146286840748828,2020-02-20,False
NOW,2020-01-31,2020-02-27,2020-02-20,0.0015562818650309,filing,cash ratio exceeds threshold,0.0,0.3381648578608536,0.4426091650317094,2020-02-20,False
ABBV,2020-01-31,2020-02-27,2020-02-21,0.0159938285286609,filing,debt ratio exceeds threshold,0.4655059976080556,0.2951149098611196,0.3352382374516957,2020-02-21,True
GPN,2020-01-31,2020-02-27,2020-02-21,0.0039422028491039,filing,debt ratio exceeds threshold,0.421295908225748,0.0777801139520651,0.119269935318157,2020-02-21,False
BMY,2020-01-31,2020-02-27,2020-02-24,0.0131581594325321,filing,debt ratio exceeds threshold,0.5274421068035265,0.1737298343788475,0.2468198368109541,2020-02-24,False
AMT,2020-01-31,2020-02-27,2020-02-25,0.0130511689343626,filing,debt ratio exceeds threshold,0.3045183325150726,0.019003754698389,0.0248547641718738,2020-02-25,False
FISV,2020-01-31,2020-02-27,2020-02-27,0.0062655262551056,filing,debt ratio exceeds threshold,0.6086611057027072,0.0,0.0773229460735618,2020-02-27,False
LITE,2020-07-31,2020-08-31,2020-08-25,0.0009108301360599,filing,debt ratio exceeds threshold,0.3248392512515786,0.3280483742328758,0.3280483742328758,2020-08-25,False
ICE,2021-01-31,2021-02-28,2021-02-04,0.0064176532106536,filing,debt ratio exceeds threshold,0.3228193927521905,0.0388663851345232,0.0628772609333498,2021-02-04,False
NOW,2021-01-31,2021-02-28,2021-02-12,0.0021605870313902,filing,cash ratio exceeds threshold,0.0,0.3465698571897221,0.423286872602116,2021-02-12,False
CCI,2021-01-31,2021-02-28,2021-02-22,0.0069549526294032,filing,debt ratio exceeds threshold,0.315240005344861,0.003793344462656,0.0108404628394005,2021-02-22,True
GILD,2021-01-31,2021-02-28,2021-02-25,0.0087182974921609,filing,debt ratio exceeds threshold,0.3702692235461887,0.0873496722511358,0.1450325281707573,2021-02-25,True
NTAP,2021-05-31,2021-06-30,2021-06-21,0.001666235254824,filing,cash ratio exceeds threshold,0.2177136305450962,0.3801716740065586,0.4583401317820586,2021-06-21,False
LITE,2021-07-31,2021-08-31,2021-08-31,0.0005730854448307,filing,cash ratio exceeds threshold,0.2618915526218416,0.332598682635322,0.332598682635322,2021-08-31,False
ICE,2022-01-31,2022-02-11,2022-02-03,0.0066173638425095,filing,cash ratio exceeds threshold,0.2266952252601289,2.410220768292344,2.4298965717205836,2022-02-03,False
GPN,2023-01-31,2023-02-28,2023-02-17,0.0030402597201947,filing,debt ratio exceeds threshold,0.3206222547133613,0.0475877997555722,0.071370955508914,2023-02-17,False
FISV,2023-01-31,2023-02-28,2023-02-23,0.0067863925065059,filing,debt ratio exceeds threshold,0.3011518462574164,0.0126827418677836,0.063090313481979,2023-02-23,True
CPAY,2023-01-31,2023-02-28,2023-02-28,0.0015601307501026,filing,debt ratio exceeds threshold,0.4080618693302155,0.083223549562287,0.2029558781138064,2023-02-28,False
GEN,2023-04-30,2023-05-31,2023-05-25,0.0007272393486155,filing,debt ratio exceeds threshold,0.681936996351251,0.0536732865215068,0.0656961027023243,2023-05-25,False
NSC,2024-01-31,2024-02-29,2024-02-05,0.0034275124112182,filing,debt ratio exceeds threshold,0.3246075513599389,0.0296283043560384,0.0513015601572986,2024-02-05,True
AMGN,2024-01-31,2024-02-29,2024-02-14,0.0107205694338402,filing,debt ratio exceeds threshold,0.4724126536504272,0.1596496015534164,0.214002857319307,2024-02-14,False
NDAQ,2024-01-31,2024-02-29,2024-02-21,0.0018142414653631,filing,debt ratio exceeds threshold,0.3809289817380989,0.0165066796180752,0.0503581263403532,2024-02-21,False
FISV,2024-01-31,2024-02-29,2024-02-22,0.0058719995144631,filing,debt ratio exceeds threshold,0.3219661477624551,0.0167681997536982,0.0666549867285712,2024-02-22,True
CRWD,2024-02-29,2024-03-31,2024-03-07,0.001356486915219,filing,cash ratio exceeds threshold,0.0734226043211698,0.3435968322041606,0.4279573669147598,2024-03-07,False
